nome,tot,male,female
ALBERTO ALFIO,12,12,0
ALBERTO ALFONSO,5,5,0
ALBERTO ALFREDO,29,29,0
ALBERTO AMAD,5,5,0
ALBERTO AMEDEO,6,6,0
ALBERTO ANDREA,5,5,0
ALBERTO ANGE,5,5,0
ALBERTO ANGELO,55,55,0
ALBERTO ANGELO PIETR,10,10,0
ALBERTO ANNIBALE,19,19,0
ALBERTO ANTONINO,8,8,0
ALBERTO ANTONIO,50,50,0
ALBERTO ARMANDO,10,10,0
ALBERTO AUGUSTO,15,15,0
ALBERTO BASSANO,4,4,0
ALBERTO BENVENUTO,9,9,0
ALBERTO BRUNO,9,9,0
ALBERTO CANDIDO,4,4,0
ALBERTO CARLO,77,77,0
ALBERTO CARLOS,2,2,0
ALBERTO CARMINE,14,14,0
ALBERTO CATULLO,1,1,0
ALBERTO CELESTINO,20,20,0
ALBERTO CESARE,16,16,0
ALBERTO CRISTIANO,4,4,0
ALBERTO DANIELE,5,5,0
ALBERTO DARIO,5,5,0
ALBERTO DELFINO,4,4,0
ALBERTO DOMENICO,16,16,0
ALBERTO DOMENICO DAM,2,2,0
ALBERTO EDI,7,7,0
ALBERTO EDOARDO,8,8,0
ALBERTO EGIDIO,32,32,0
ALBERTO EMANUELE,15,15,0
ALBERTO ENRICO,5,5,0
ALBERTO ERNESTO,7,7,0
ALBERTO EUGENIO,10,10,0
ALBERTO FABIO,16,16,0
ALBERTO FABRIZIO,7,7,0
ALBERTO FAUSTO,6,6,0
ALBERTO FEDERICO,6,6,0
ALBERTO FILIPPO,1,1,0
ALBERTO FLORIDO ALESSANDRO,1,1,0
ALBERTO FRANCESCO,40,40,0
ALBERTO FRANCESCO M.,15,15,0
ALBERTO FRANCESCO MARIA,5,5,0
ALBERTO FRANCO,6,6,0
ALBERTO FULVIO,5,5,0
ALBERTO GABRIELE,5,5,0
ALBERTO GAETANO,9,9,0
ALBERTO GIACOMO,14,14,0
ALBERTO GINO,3,3,0
ALBERTO GIORGIO,22,22,0
ALBERTO GIOVANNA,5,0,5
ALBERTO GIOVANNI,35,35,0
ALBERTO GIOVANNI GUIDO CARLO,7,7,0
ALBERTO GIOVANNI MARIA,2,2,0
ALBERTO GIOVANNI RUG,10,10,0
ALBERTO GIOVANNI VIT,20,20,0
ALBERTO GIULIANO,18,18,0
ALBERTO GIULIO,11,11,0
ALBERTO GIUSEPPE,85,85,0
ALBERTO GIUSEPPINO,5,5,0
ALBERTO GIUSTINO,2,2,0
ALBERTO GRAZIANO,8,8,0
ALBERTO GUIDO,7,7,0
ALBERTO IGNAZIO,15,15,0
ALBERTO ISIDORO,4,4,0
ALBERTO LINO,35,35,0
ALBERTO LORENZO,27,27,0
ALBERTO LUDOVICO,1,1,0
ALBERTO LUIGI,107,107,0
ALBERTO MARCO,6,6,0
ALBERTO MARI,5,5,0
ALBERTO MARIA,110,106,4
ALBERTO MARIANO,4,4,0
ALBERTO MARINO,4,4,0
ALBERTO MARIO,81,81,0
ALBERTO MARIO GIULIO,1,1,0
ALBERTO MASSIMO,35,35,0
ALBERTO MATTEO,1,1,0
ALBERTO MAURIZIO,5,5,0
ALBERTO MAURO,9,9,0
ALBERTO MENEGUOLO,2,2,0
ALBERTO MICHELE MARIA,4,4,0
ALBERTO MODESTO,5,5,0
ALBERTO NICOLA,10,10,0
ALBERTO NUNZIO,1,1,0
ALBERTO OLIVIERO,4,4,0
ALBERTO OLIVIERO FAU,4,4,0
ALBERTO OMAR,3,3,0
ALBERTO ONOFRIO,2,2,0
ALBERTO PACIFICO,10,10,0
ALBERTO PAOLO,35,35,0
ALBERTO PASQUALE,47,47,0
ALBERTO PATRIZIO,10,10,0
ALBERTO PIERO,15,15,0
ALBERTO PIETRO,23,23,0
ALBERTO PIETRO MARIA,9,9,0
ALBERTO PIO,9,9,0
ALBERTO PRIMO,10,10,0
ALBERTO RAFFAELE,8,8,0
ALBERTO RANIERI,3,3,0
ALBERTO RENATO,5,5,0
ALBERTO RINO,18,18,0
ALBERTO RIZIERI,10,10,0
ALBERTO ROCCO,13,13,0
ALBERTO ROSARIO,3,3,0
ALBERTO SANTE,29,29,0
ALBERTO SANTI,2,2,0
ALBERTO SAUR,5,5,0
ALBERTO SILVANO,5,5,0
ALBERTO SILVIO,5,5,0
